tol,oriSize,compressedsize,psnr,max_error,comp_ratio,method,time,timespte
1e-05,1073741824,516612451,117.39339870783965,1.2404223439677065e-05,2.0776589838714514,MGARD,2.98234224319458,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.143908977508545,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.1488261222839355,128
1e-05,2147483648,1042579859,118.17591492218904,2.2540097713935614e-05,2.0540865944351605,MGARD,5.370098829269409,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.280086994171143,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.285300254821777,128
1e-05,4294967296,2766447413,124.4773847052398,1.3108561508413073e-05,1.5479768919070358,MGARD,11.766498327255249,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,8.576085567474365,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.541775465011597,128
5e-05,1073741824,328725579,103.41370083139688,6.429297559473746e-05,3.265168786880439,MGARD,3.212757110595703,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.1521575450897217,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.151503562927246,128
5e-05,2147483648,661156283,104.19631431318825,0.0001000951551728968,3.2390969685453324,MGARD,5.2130279541015625,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.2858850955963135,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.287883043289185,128
5e-05,4294967296,1603978301,110.49793216245654,6.024842946325548e-05,2.669859477107727,MGARD,11.306094884872437,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,8.577369928359985,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.590890169143677,128
0.0001,1073741824,278997483,97.39304881210887,0.00011528611082600726,3.847147610288656,MGARD,3.142232894897461,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.1600558757781982,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.1470842361450195,128
0.0001,2147483648,560940979,98.17607145649085,0.00020452898157122257,3.817780109090586,MGARD,5.21353554725647,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.344338893890381,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.281825304031372,128
0.0001,4294967296,1342334629,104.47754364940104,0.00014162896803082692,3.190260144886719,MGARD,11.29184889793396,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,9.454844236373901,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.587799549102783,128
0.0005,1073741824,186944291,83.42374772853569,0.0006220685573764856,5.741520611613649,MGARD,3.1217947006225586,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.164748430252075,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.5094475746154785,128
0.0005,2147483648,376258819,84.20521547769124,0.001123203636067438,5.691692005231112,MGARD,5.393261194229126,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.287376165390015,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.288746118545532,128
0.0005,4294967296,914715461,90.49814793327542,0.0006436553623279662,4.6816708042939705,MGARD,11.260086297988892,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,8.565058469772339,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.545298337936401,128
0.001,1073741824,152012739,77.4732073298858,0.0013223234680593277,7.06088520646944,MGARD,3.1340091228485107,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.156097173690796,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.147251844406128,128
0.001,2147483648,310822059,78.24769811063604,0.0018760187730657678,6.889952788067722,MGARD,5.191778898239136,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.6742799282073975,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.294644117355347,128
0.001,4294967296,765424741,84.48348384904678,0.0014988925669948555,5.594797814354945,MGARD,11.294924259185791,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,9.53792119026184,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.597880363464355,128
0.005,1073741824,80113635,64.91084695268499,0.005659054045464074,13.39777554719618,MGARD,3.3930892944335938,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.1532034873962402,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.153933048248291,128
0.005,2147483648,162033339,65.63268251308092,0.008215742746620958,13.216720245455166,MGARD,5.179119825363159,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.286250352859497,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.294083118438721,128
0.005,4294967296,452057581,70.94916005969932,0.005465937017927802,9.473122115388216,MGARD,11.198102235794067,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,8.571998596191406,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.582813024520874,128
0.01,1073741824,60688411,60.58117196515225,0.01178581804324319,17.68615263299611,MGARD,3.12298321723938,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.162916660308838,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.142256498336792,128
0.01,2147483648,122461219,61.27058577412541,0.016685629364602717,17.48757140821863,MGARD,5.163054943084717,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.996338605880737,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.2904372215271,128
0.01,4294967296,332661157,65.79997359253977,0.011295850389686779,12.873149082446076,MGARD,11.379568099975586,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,8.917712926864624,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.587072134017944,128
0.02,1073741824,48807187,56.934628099874665,0.021914476992500542,21.99152555134964,MGARD,3.139050245285034,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.153939962387085,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.153881072998047,128
0.02,2147483648,98192395,57.62092211906075,0.03282173115249276,21.80972683271449,MGARD,5.204695224761963,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.284159183502197,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.295252084732056,128
0.02,4294967296,250654469,61.36111691813233,0.023215345565665763,17.084860625405405,MGARD,11.178391695022583,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,8.603911638259888,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.579724311828613,128
0.03,1073741824,44383371,55.0625602251871,0.029600959743613882,24.183483043683186,MGARD,3.1055707931518555,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.1559295654296875,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.1549952030181885,128
0.03,2147483648,89107323,55.75114390123858,0.03490383846868787,24.033370545763113,MGARD,5.385554075241089,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.294297456741333,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.287883281707764,128
0.03,4294967296,217611885,59.12882761758198,0.03222941989529035,19.679056904451702,MGARD,11.220641613006592,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,numpy,8.586325407028198,128
0,4294967296,2141198334,86.6335678100586,0.0012125969,2.0,cupy,8.579254150390625,128
0.05,1073741824,40570667,52.89870215170289,0.04422987517086811,26.45617090791236,MGARD,3.287592649459839,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,numpy,2.1455466747283936,128
0,1073741824,536672250,85.523681640625,0.0009765625,2.0,cupy,2.152021646499634,128
0.05,2147483648,81283299,53.58165127114205,0.05434212899742408,26.346732211250433,MGARD,5.148843288421631,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,numpy,4.285750389099121,128
0,2147483648,1070774656,86.36953353881836,0.0009765625,2.0,cupy,4.294461011886597,128
0.05,4294967296,188387525,56.59077153773158,0.06148544268419365,22.731848449094493,MGARD,11.342138528823853,128
